Olay numarası,Lokasyon,Olay Tarihi,Olay Saati,Olay Tipi,Olay Grubu,Olay Alt Grubu,Saha,Olayın Kısa Açıklaması,OSAR Aşaması,Sorumlu Kişi,Seviye,Araştırmanın Tamamlanma Durumu,Olay Araştırma Kalan Gün sayısı,Döf Numarası,PE Seviye
1016299,BAK.MÜD./ENSTRUMAN ATÖLYESİ,5.03.2018,00:00:00,Kazaya ramak kala,İSG,Sıcak yüzeyler.,,Enstruman Atölyesi,Olay tamamlandı,,,Geçersiz,0,,
1016300,7000  OF SAYT VE BATTERY LİMİT,5.03.2018,00:00:00,Kazaya ramak kala,İSG,"Merdivenler(bina merdivenleri,...)",,7000,Olay tamamlandı,,,Geçersiz,0,,
1016301,7000  OF SAYT VE BATTERY LİMİT,5.03.2018,00:00:00,Kazaya ramak kala,İSG,Trafik kuralı ihlali,,7000,Olay tamamlandı,,ZIM_LEVEL_04,Geçersiz,0,,Seviye 4
1016319,7100 HAM PETROL ÖN ISITMA VE TUZ GİDERME,6.03.2018,00:00:00,Olay,ISG,ISG-Kayıp zamanlı kaza,Yeni fırın yan tarafı,KEDİ MERDİVENİ İP İLE BAĞLI,Ekip kuruluyor,,,Araştırma başlamadı,0,,
1016321,5340 ESKİ HAM PETROL İSKELESİ,3.03.2018,09:00:00,Kazaya ramak kala,İSG,"Tertip, düzen",204 nolu iskele 4 nolu kol yanı,204 nolu iskele 4 nolu kol yanındaki sabitlenmemiş ızgara,Olay tamamlandı,,,Geçersiz,0,,
1016326,5340 ESKİ HAM PETROL İSKELESİ,21.02.2018,14:30:00,Olay,ISG,ISG-Kayıp zamanlı kaza,2/4 no iskele güney dolfen,Emre Esten ayak burkulması,Olay tamamlandı,,,Zamanında tamamlandı,0,10815,
1016329,5390 YENİ HAMPETROL İSKELESİ,1.03.2018,00:00:00,Olay,ISG,ISG-Küçük müdahale,Board binası,Umut Liman başını çarpması,Olay tamamlandı,,,Geçersiz,0,2446.1,
1016327,7200 ATMOSFERİK DİSTİLASYON ÜNİTESİ,24.02.2018,11:45:00,Olay,ISG,ISG-Kayıp zamanlı kaza,,T-7204 Kolonu İş Kazası,Olay tamamlandı,,,Geçersiz,0,,
1016328,7200 ATMOSFERİK DİSTİLASYON ÜNİTESİ,23.02.2018,14:50:00,Olay,ISG,ISG-Kayıp zamansız kaza,,Salmastra baskınının arasına parmak sıkışması sonucu yaşanan İş Kazası,Olay tamamlandı,,,Geçersiz,0,2415.1,
1016333,8500 VİSBREAKER ÜNİTESİ,22.02.2018,00:00:00,Olay,IG,"İG-Ekipman işlev, bütünlüğünün bozulması",,H-8501 Fırın Oksijen Analizörü Probu Kesilmesi,Olay tamamlandı,,ZIM_LEVEL_04,Gecikmeli tamamlandı,-57,11048,Seviye 4
1016332,8200 HYDROCRACKER REAKTÖR ÜNİTESİ,6.03.2018,00:00:00,Güvenlik izleme,İSG,Tehlikeli depolanmış malz. ve ekipmanlar,8200 fanları üstü,8200,Olay tamamlandı,,,Geçersiz,0,,
1016334,RAFİNERİ MÜDÜRLÜĞÜ,6.03.2018,00:00:00,Güvenlik izleme,İSG,Prosedürler/standartlar bilinmiyor,,Rafineri geneli,Olay tamamlandı,,,Geçersiz,0,,
1016335,7000  OF SAYT VE BATTERY LİMİT,6.03.2018,00:00:00,Güvenlik izleme,İSG,Yüksekte emniyetsiz çalışma.,,7000,Olay tamamlandı,,,Geçersiz,0,,
1016336,7000  OF SAYT VE BATTERY LİMİT,6.03.2018,00:00:00,Güvenlik izleme,İSG,Tehlikeli kimyasalla uygunsuz çalışma,,7000,Olay tamamlandı,,,Geçersiz,0,2255.1,
1016341,12700 KİMYASAL FİLTRASYON SAHASI,3.03.2018,20:00:00,Olay,IG,İG-Üretim kayıplı ünite duruşları; İG-Tekrarlayan ekipman arızaları,CFS ve FGRS Ünitelerinin bulunduğu bölge (1 nolu yolun deniz tarafına bakan kısmı),ASA Ünitesi CFS Ve FGRS Sahasına Ait Elektrik Kesintileri,Geçersiz,,,Geçersiz,0,,
1016342,7200 ATMOSFERİK DİSTİLASYON ÜNİTESİ,6.03.2018,00:00:00,Güvenlik izleme,İSG,"Tertip, düzen; Düşme tehlikesi(Açık kablo kanalları,.); Uyarıcı işaretler eksik/yok; Yüksekte emniyetsiz çalışma.; Ergonomik uygunsuzluk (kaldırma/indirme); Doğru ekipman kullanmama/uyg.sz kullanma; Kaldırma araçlarının uygunsuz kullanımı",,VİNÇ KALDIRMA OPERASYONU,Olay tamamlandı,,,Geçersiz,0,,
1016347,2700 OF SITE,7.03.2018,07:45:00,Güvenlik izleme,İSG,Trafik kuralı ihlali,1 no'lu yol idari bina kavşağı,Hız ihlali,Olay tamamlandı,,,Geçersiz,0,,
1016346,RAFİNERİ GÜVENLİK MÜDÜRLÜĞÜ,7.03.2018,00:00:00,Güvenlik izleme,İSG,Trafik kuralı ihlali,İç Kapı,ARAÇ ARKA STOP LAMBASI OLMAMASI,Olay tamamlandı,,,Geçersiz,0,,
1016350,1600 ANA ÜRÜN TANKLARI VE BAĞLANTILARI,7.03.2018,09:00:00,Güvenlik izleme,İSG,Doğru ekipman kullanmama/uyg.sz kullanma,2 nolu yol,Emniyetsiz Durum,Olay tamamlandı,,,Geçersiz,0,,
1016353,5340 ESKİ HAM PETROL İSKELESİ,6.03.2018,14:00:00,Güvenlik izleme,İSG,"Tertip, düzen",202 nolu iskele manifol alt katındaki supportlar,202 nolu iskele platform supportları eksik civatalar,Olay tamamlandı,,,Geçersiz,0,,
1016356,LABORATUVAR BAŞMÜHENDİSLİĞİ/LABORATUVAR,7.03.2018,00:00:00,Güvenlik izleme,İSG,"Uyarıcı işaretler eksik/yok; Kimyasallar(Tanımsız,etiketsiz,MKK sız); Prosedürler/standartlar bilinmiyor",İzmir Rafinerisi KSM Laboratuvar Fiziko Kimya Kısmı,Yüksek H2S Numunenin Uygun  Prosedürle Gönderilmemesi.,Olay tamamlandı,,,Geçersiz,0,2318.1,
1016357,7000  OF SAYT VE BATTERY LİMİT,6.03.2018,00:00:00,Güvenlik izleme,İSG,Prosedürler/standartlar bilinmiyor,7201 kolonı D1-D2 nozulu,7000,Olay tamamlandı,,,Geçersiz,0,,
1016358,1900 ASVALT HAZIRLAMA ÜNİTESİ,1.03.2018,14:00:00,Güvenlik izleme,İSG,Göz ve yüz,Ü-1900 arkası yeni tranfer hatları çalışma alanı,Emniyetsiz Davranış,Olay tamamlandı,,,Geçersiz,0,,
1016359,7000  OF SAYT VE BATTERY LİMİT,7.03.2018,00:00:00,Güvenlik izleme,İSG,Yüksekte emniyetsiz çalışma.,7202 kolonu 3. kat,7000,Olay tamamlandı,,,Geçersiz,0,,
1016360,7000  OF SAYT VE BATTERY LİMİT,7.03.2018,00:00:00,Güvenlik izleme,İSG,Prosedürler/standartlar bilinmiyor,K Area,7000,Olay tamamlandı,,,Geçersiz,0,,
1016365,ÜRETİM MÜDÜRLÜĞÜ-PR/YT,7.03.2018,13:00:00,Güvenlik izleme,İSG,Trafik kuralı ihlali,Yard ofis,Yard ofis otoparkına ters yönden giriş,Olay tamamlandı,,,Geçersiz,0,,
1016361,7000  OF SAYT VE BATTERY LİMİT,7.03.2018,00:00:00,Güvenlik izleme,İSG,Tehlikeli depolanmış malz. ve ekipmanlar,A bölgesi,7000,Olay tamamlandı,,,Geçersiz,0,,
1016362,9300 CCR REJENERASYON ÜNİTESİ,26.02.2018,00:00:00,Olay,IG,İG-Ürün kalitesi sorunu,,PERC enjeksiyon ceket hattının delinmesi,Olay tamamlandı,,ZIM_LEVEL_03,Gecikmeli tamamlandı,-44,10972,Seviye 3
1016363,9300 CCR REJENERASYON ÜNİTESİ,7.03.2018,00:00:00,Olay,IG,İG-Tekrarlayan ekipman arızaları,,Rejeneratör elek hasarı/tıkanması,Olay tamamlandı,,,Gecikmeli tamamlandı,-30,10917,
1016366,9700 KÜKÜRT GERİ KAZANIM ÜNİTESİ,7.03.2018,00:00:00,Olay,IG,İG-Yüksek maliyetli bakımlar; İG-Üretim kayıplı ünite duruşları,,E-9701 ayna hasarı,Olay tamamlandı,,,Gecikmeli tamamlandı,-8,10852,
1016364,7000  OF SAYT VE BATTERY LİMİT,7.03.2018,00:00:00,Güvenlik izleme,İSG,Yüksekte emniyetsiz çalışma.,A bölgesi,7000,Olay tamamlandı,,,Geçersiz,0,,
1016367,2700 OF SITE,28.02.2018,10:00:00,Güvenlik izleme,İSG,Islak/kaygan zemin; Uyarıcı işaretler eksik/yok; Yangın/patlama tehlikesi,,Eski İş Makinaları Binası Soyunma Odaları,Olay tamamlandı,,,Geçersiz,0,2294.1,
1016368,9900 DİZEL KEROSEN KÜKÜRT GİDERME ÜNİTES,2.03.2018,00:00:00,Olay,"IG, PE",İG-Start-up arızaları; PE-Kaçak/döküntü,,E-9904 diyafram kaçağı,Olay tamamlandı,,ZIM_LEVEL_03,Gecikmeli tamamlandı,-5,10880,Seviye 3
1016373,2700 OF SITE,28.02.2018,15:00:00,Güvenlik izleme,İSG,"Tertip, düzen",,Eski İş Makinaları Binası  WC,Olay tamamlandı,,,Geçersiz,0,2295.1,
1016370,9700 KÜKÜRT GERİ KAZANIM ÜNİTESİ,7.03.2018,00:00:00,Olay,IG,"İG-Ekipman işlev, bütünlüğünün bozulması",,L-9701 degazing kısmındaki beton tavan hasarı,Olay tamamlandı,,,Zamanında tamamlandı,7,10802,
1016372,9900 DİZEL KEROSEN KÜKÜRT GİDERME ÜNİTES,7.03.2018,00:00:00,Olay,IG,İG-Tekrarlayan ekipman arızaları,,P-9914A/B Pompaları sık arıza yapması,Olay tamamlandı,,,Gecikmeli tamamlandı,-17,10873,
1016375,3000 TANK SAHASI,7.03.2018,00:00:00,Güvenlik izleme,İSG,Tehlikeli depolanmış malz. ve ekipmanlar,,TK-3036,Olay tamamlandı,,,Geçersiz,0,2321.1,
1016376,9200 CCR PLATFORMİNG ÜNİTESİ,7.03.2018,00:00:00,Olay,IG,İG-Tekrarlayan ekipman arızaları,,CM-9202 A/B/C klepe kırması,Olay tamamlandı,,,Gecikmeli tamamlandı,-95,11143,
1016377,7000  OF SAYT VE BATTERY LİMİT,7.03.2018,00:00:00,Güvenlik izleme,İSG,"Merdivenler(bina merdivenleri,...)",,7000,Olay tamamlandı,,,Geçersiz,0,,
1016380,KARA DOLUM,6.03.2018,13:30:00,Güvenlik izleme,İSG,Prosedürler/standartlar bilinmiyor,kara dolumun yanındaki ana yolda solladı,hatalı sollama,Olay tamamlandı,,,Geçersiz,0,,
1016378,9900 DİZEL KEROSEN KÜKÜRT GİDERME ÜNİTES,7.03.2018,00:00:00,Olay,IG,İG-Tekrarlayan ekipman arızaları; İG-Yüksek maliyetli bakımlar,,99FT020 orifice flanşlarında H2 kaçağı,Olay tamamlandı,,,Gecikmeli tamamlandı,-18,10881,
1016379,KARA DOLUM,6.03.2018,13:30:00,Güvenlik izleme,İSG,Prosedürler/standartlar bilinmiyor,kara dolumun yanındaki ana yolda solladı,hatalı sollama,Olay tamamlandı,,,Geçersiz,0,,
1016381,7000  OF SAYT VE BATTERY LİMİT,7.03.2018,00:00:00,Güvenlik izleme,İSG,Uyarıcı işaretler eksik/yok,,7000,Olay tamamlandı,,,Geçersiz,0,2314.1,
1016382,9700 KÜKÜRT GERİ KAZANIM ÜNİTESİ,7.03.2018,00:00:00,Olay,IG,İG-Yüksek maliyetli bakımlar; İG-Tekrarlayan ekipman arızaları,,Sıvı kükürt dolum kolu arızası,Olay tamamlandı,,,Zamanında tamamlandı,23,10776,
1016384,7200 ATMOSFERİK DİSTİLASYON ÜNİTESİ,7.03.2018,00:00:00,Güvenlik izleme,İSG,"Tertip, düzen; Tehlikeli depolanmış malz. ve ekipmanlar; Prosedür/standart mevcut değil/yetersiz; Prosedürler/standartlar bilinmiyor",,ERMA FİRMASI UYGUNSUZ ÇALIŞMA,Olay tamamlandı,,,Geçersiz,0,,
1016385,7200 ATMOSFERİK DİSTİLASYON ÜNİTESİ,7.03.2018,00:00:00,Güvenlik izleme,İSG,"Tertip, düzen; Prosedürler/standartlar bilinmiyor; Prosedür/standart mevcut değil/yetersiz",,ERMA FİRMASI TEHLİKELİ ÇALIŞMA,Olay tamamlandı,,,Geçersiz,0,,
1016399,2010 Y AKARYAKIT FLAIRE SAHASI,7.03.2018,22:00:00,Olay,ISG,ISG-Küçük müdahale,L-2010/Y Fleyr sahası,Konsa firması çalışanı iş kazası,Olay tamamlandı,,,Geçersiz,0,2969.1,
1016400,KİRALIK ARAÇLAR,6.03.2018,13:30:00,Güvenlik izleme,İSG,Trafik kuralı ihlali,İç kapıya giden ana yolda (Yapı Kredi Bankası tarafı),Hatalı Araç sollama,Olay tamamlandı,,,Geçersiz,0,,
1016407,3000 TANK SAHASI,8.03.2018,13:20:00,Güvenlik izleme,İSG,İzinsiz ekipman kullanımı.; Yasal gerekliliğe uygunsuzluk,2300 -3054 Küre Nafta tankları,Tnk 3054,Olay tamamlandı,,,Geçersiz,0,,
1016408,3000 TANK SAHASI,8.03.2018,09:00:00,Güvenlik izleme,İSG,"Tertip, düzen",2300 sahası,Tnk3081,Olay tamamlandı,,,Geçersiz,0,,
1016414,7200 ATMOSFERİK DİSTİLASYON ÜNİTESİ,8.03.2018,00:00:00,Güvenlik izleme,İSG,Emin giriş/ateşli iş sertifikası ihlali; Yüksekte emniyetsiz çalışma.,U-7000 R bölgesi,Ercan Çelik firması İş izinsiz çalışma,Olay tamamlandı,,,Geçersiz,0,,
1016419,7200 ATMOSFERİK DİSTİLASYON ÜNİTESİ,9.03.2018,08:30:00,Güvenlik izleme,İSG,Prosedür/standart mevcut değil/yetersiz; Çalışanın mesleki yeterlilik eğitimi yk; Çalışanın işle ilgili işbaşı eğitimi yok; Yasal gerekliliğe uygunsuzluk; İTA standardının uygulanması ihlalleri; İzinsiz ekipman kullanımı.,U-7000 BETON BACA,ATEŞ İZNİ OLMADAN ÇALIŞMA,Olay tamamlandı,,,Geçersiz,0,,
1016421,7200 ATMOSFERİK DİSTİLASYON ÜNİTESİ,9.03.2018,08:30:00,Güvenlik izleme,İSG,İTA standardının uygulanması ihlalleri; İzinsiz ekipman kullanımı.; Çalışanın mesleki yeterlilik eğitimi yk; Yasal gerekliliğe uygunsuzluk; Çalışanın işle ilgili işbaşı eğitimi yok; Prosedür/standart mevcut değil/yetersiz,U-7000 BETON BACA,EMNİYETÇİ VE ATEŞ İZNİ OLMADAN ÇALIŞMA,Olay tamamlandı,,,Geçersiz,0,,
1016423,901Y RUS KAZANLARI,9.03.2018,09:45:00,Güvenlik izleme,İSG,Prosedürler/standartlar bilinmiyor; Dikkat dağıtıcı hareketler yapma,900 bord,Bordda cep telefonu kullanılması,Olay tamamlandı,,ZIM_LEVEL_04,Geçersiz,0,,Seviye 4
1016426,7000  OF SAYT VE BATTERY LİMİT,9.03.2018,00:00:00,Güvenlik izleme,İSG,Yüksekte emniyetsiz çalışma.,,7000,Olay tamamlandı,,,Geçersiz,0,,
1016427,7000  OF SAYT VE BATTERY LİMİT,8.03.2018,00:00:00,Güvenlik izleme,İSG,Mevcut değil veya düzgün çalışmıyor,,7000,Olay tamamlandı,,,Geçersiz,0,,
1016428,7000  OF SAYT VE BATTERY LİMİT,8.03.2018,00:00:00,Güvenlik izleme,İSG,Mevcut değil veya düzgün çalışmıyor,,7000,Olay tamamlandı,,,Geçersiz,0,,
1016429,7000  OF SAYT VE BATTERY LİMİT,8.03.2018,00:00:00,Güvenlik izleme,İSG,Mevcut değil veya düzgün çalışmıyor,,7000,Olay tamamlandı,,,Geçersiz,0,,
1016430,7000  OF SAYT VE BATTERY LİMİT,8.03.2018,00:00:00,Güvenlik izleme,İSG,Prosedürler/standartlar bilinmiyor,,7000,Olay tamamlandı,,,Geçersiz,0,,
1016432,7000  OF SAYT VE BATTERY LİMİT,8.03.2018,00:00:00,Güvenlik izleme,İSG,İTA standardının uygulanması ihlalleri,,7000,Olay tamamlandı,,,Geçersiz,0,,
1016435,7000  OF SAYT VE BATTERY LİMİT,8.03.2018,00:00:00,Güvenlik izleme,İSG,Prosedürler/standartlar bilinmiyor,,7000,Olay tamamlandı,,,Geçersiz,0,2269.1,
1016436,7000  OF SAYT VE BATTERY LİMİT,8.03.2018,00:00:00,Güvenlik izleme,İSG,Ekipman durumu uygun değil.,,7000,Olay tamamlandı,,,Geçersiz,0,,
1016437,7000  OF SAYT VE BATTERY LİMİT,8.03.2018,00:00:00,Güvenlik izleme,İSG,Yüksekte duran emniyetsiz malzemeler,,7000,Olay tamamlandı,,,Geçersiz,0,2270.1,
1016438,7000  OF SAYT VE BATTERY LİMİT,8.03.2018,00:00:00,Güvenlik izleme,İSG,Prosedürler/standartlar bilinmiyor,,7000,Olay tamamlandı,,,Geçersiz,0,,
1016439,7200 ATMOSFERİK DİSTİLASYON ÜNİTESİ,9.03.2018,00:00:00,Güvenlik izleme,İSG,Prosedür/standart mevcut değil/yetersiz; Prosedürler/standartlar bilinmiyor,,İŞ MÜSADESİZ ÇALIŞMA,Olay tamamlandı,,,Geçersiz,0,,
1016440,7200 ATMOSFERİK DİSTİLASYON ÜNİTESİ,9.03.2018,00:00:00,Güvenlik izleme,İSG,Prosedürler/standartlar bilinmiyor; Prosedür/standart mevcut değil/yetersiz; Ergonomik uygunsuzluk (kaldırma/indirme),,ERCAN ÇELİK YETKİSİ OLMAYAN İŞLERİ YAPMAK,Olay tamamlandı,,,Geçersiz,0,,
1016441,EMNİYET ÇEVRE KALİTE MÜDÜRLÜĞÜ,9.03.2018,13:00:00,Güvenlik izleme,İSG,Trafik kuralı ihlali; Prosedürler/standartlar bilinmiyor,rafineri yemekhane iç kapı otopark,Trafik kural ihlali,Olay tamamlandı,,,Geçersiz,0,,
1016445,İNSAN KAYNAKLARI MÜDÜRLÜĞÜ,9.03.2018,12:40:00,Güvenlik izleme,İSG,Trafik kuralı ihlali,,Hatalı Araç Parkı,Olay tamamlandı,,,Geçersiz,0,,
1016460,7300 NAFTA STABİLİZASYON ÜNİTESİ,11.03.2018,13:00:00,Güvenlik izleme,İSG,"Düşme tehlikesi(Açık kablo kanalları,.); Yüksekte çalışırken KKD; Yüksekte emniyetsiz çalışma.",H-7302,EMNİYETSİZ ÇALIŞMA,Olay tamamlandı,,,Geçersiz,0,,
1016461,7200 ATMOSFERİK DİSTİLASYON ÜNİTESİ,11.03.2018,09:00:00,Güvenlik izleme,İSG,"Tertip, düzen",T-7202 KOLONU ÇEVRESİ,ERCAN ÇELİK FİRMASI DÜZENSİZ ÇALIŞMA,Olay tamamlandı,,,Geçersiz,0,,
1016462,7300 NAFTA STABİLİZASYON ÜNİTESİ,11.03.2018,13:00:00,Güvenlik izleme,İSG,"Tertip, düzen",H-7302,İŞ İZİNSİZ ÇALIŞMa,Olay tamamlandı,,,Geçersiz,0,,
1016465,LABORATUVAR BAŞMÜHENDİSLİĞİ/LABORATUVAR,12.03.2018,00:00:00,Kazaya ramak kala,Proses emniyeti,Yüksekte duran emniyetsiz malzemeler,Laboratuar 1.kat koridoru,Laboratuar alt koridor asma tavan düşmesi,Olay tamamlandı,,,Geçersiz,0,,
1016467,RAFİNERİ GÜVENLİK MÜDÜRLÜĞÜ,12.03.2018,00:00:00,Güvenlik izleme,İSG,Prosedürler/standartlar bilinmiyor,Dış KApı,CEP TELEFONUNU GİZLEYEREK RAFİNERİYE GİRMEYE ÇALIŞMAK,Olay tamamlandı,,,Geçersiz,0,,
1016468,2450 KARADOLUM BEYAZ ÜRÜN YÜKLEME İST.,11.03.2018,14:00:00,Olay,IG,"İG-Ekipman işlev, bütünlüğünün bozulması",11 nolu dolum adası,Karadolum Beyaz Sahası Priz Elektrik kaçağı,Olay tamamlandı,,,Gecikmeli tamamlandı,-5,10882,
1016470,7200 ATMOSFERİK DİSTİLASYON ÜNİTESİ,12.03.2018,00:00:00,Güvenlik izleme,İSG,Prosedürler/standartlar bilinmiyor; Prosedür/standart mevcut değil/yetersiz,,Sahada cep telefonu kullanımı,Olay tamamlandı,,,Geçersiz,0,,
1016475,PETROL HAREKETLERİ POMPA İSTASYONU,3.03.2018,00:00:00,Güvenlik izleme,İSG,Prosedürler/standartlar bilinmiyor,,PHÜ,Olay tamamlandı,,,Geçersiz,0,,
1016476,PETROL HAREKETLERİ POMPA İSTASYONU,1.03.2018,00:00:00,Güvenlik izleme,İSG,Dikkat dağıtıcı hareketler yapma,,PHÜ,Olay tamamlandı,,,Geçersiz,0,,
1016478,PETROL HAREKETLERİ POMPA İSTASYONU,7.03.2018,00:00:00,Güvenlik izleme,İSG,Dikkat dağıtıcı hareketler yapma,,PHÜ,Olay tamamlandı,,,Geçersiz,0,,
1016479,7000  OF SAYT VE BATTERY LİMİT,8.03.2018,00:00:00,Güvenlik izleme,İSG,Ekipman durumu uygun değil.,,7000,Olay tamamlandı,,,Geçersiz,0,,
1016480,7000  OF SAYT VE BATTERY LİMİT,8.03.2018,00:00:00,Güvenlik izleme,İSG,Ekipman durumu uygun değil.,,7000,Olay tamamlandı,,,Geçersiz,0,,
1016481,7000  OF SAYT VE BATTERY LİMİT,8.03.2018,00:00:00,Güvenlik izleme,İSG,Yakındaki eş zamanlı çalışmalar,,7000,Olay tamamlandı,,,Geçersiz,0,2305.1,
1016483,7000  OF SAYT VE BATTERY LİMİT,8.03.2018,00:00:00,Güvenlik izleme,İSG,"Merdivenler(bina merdivenleri,...)",,7000,Olay tamamlandı,,,Geçersiz,0,2307.1,
1016484,7000  OF SAYT VE BATTERY LİMİT,8.03.2018,00:00:00,Güvenlik izleme,İSG,"Düşme tehlikesi(Açık kablo kanalları,.)",,7000,Olay tamamlandı,,,Geçersiz,0,,
1016485,7000  OF SAYT VE BATTERY LİMİT,8.03.2018,00:00:00,Güvenlik izleme,İSG,Ekipman durumu uygun değil.,,7000,Olay tamamlandı,,,Geçersiz,0,,
1016486,7000  OF SAYT VE BATTERY LİMİT,8.03.2018,00:00:00,Güvenlik izleme,İSG,"Merdivenler(bina merdivenleri,...)",,7000,Olay tamamlandı,,,Geçersiz,0,2319.1,
1016487,7000  OF SAYT VE BATTERY LİMİT,8.03.2018,00:00:00,Güvenlik izleme,İSG,"Düşme tehlikesi(Açık kablo kanalları,.)",,7000,Olay tamamlandı,,,Geçersiz,0,,
1016488,7000  OF SAYT VE BATTERY LİMİT,8.03.2018,00:00:00,Güvenlik izleme,İSG,Uyarıcı işaretler eksik/yok,,7000,Olay tamamlandı,,,Geçersiz,0,,
1016489,7000  OF SAYT VE BATTERY LİMİT,8.03.2018,00:00:00,Güvenlik izleme,İSG,Yüksekte emniyetsiz çalışma.,,7000,Olay tamamlandı,,,Geçersiz,0,,
1016490,7000  OF SAYT VE BATTERY LİMİT,8.03.2018,00:00:00,Güvenlik izleme,İSG,Yüksekte emniyetsiz çalışma.,,7000,Olay tamamlandı,,,Geçersiz,0,,
1016491,3000 TANK SAHASI,3.03.2018,00:00:00,Olay,IG,İG-Tekrarlayan ekipman arızaları; İG-Ürün kalitesi sorunu; İG-Başarısız test ve kontroller,3066 ve 3082 tankı,Benzin Tanklarında Yaşanan Kalite Sorunları,Geçersiz,,,Geçersiz,0,,
1016492,RAFİNERİ GÜVENLİK MÜDÜRLÜĞÜ,2.03.2018,00:00:00,Güvenlik izleme,İSG,Prosedürler/standartlar bilinmiyor,,Dış kapı,Olay tamamlandı,,,Geçersiz,0,2271.1,
1016493,7000  OF SAYT VE BATTERY LİMİT,3.03.2018,00:00:00,Güvenlik izleme,İSG,Trafik kuralı ihlali,,7000,Olay tamamlandı,,,Geçersiz,0,2308.1,
1016494,7000  OF SAYT VE BATTERY LİMİT,3.03.2018,00:00:00,Güvenlik izleme,İSG,Ekipman durumu uygun değil.,E Area pompalar bölgesi,7000,Olay tamamlandı,,,Geçersiz,0,,
1016496,8200 HYDROCRACKER REAKTÖR ÜNİTESİ,8.03.2018,23:30:00,Olay,"IG, PE",İG-Üretim kayıplı ünite duruşları; PE-Kaçak/döküntü,,U-8200 Hydrocracker Ünitesi Acil Duruşu,Olay tamamlandı,,ZIM_LEVEL_03,Zamanında tamamlandı,30,10861,Seviye 3
1016497,1100 VAKUM DESTİLASYON ÜNİTESİ,11.03.2018,00:00:00,Olay,"PE, IG",PE-Kaçak/döküntü; İG-Tekrarlayan ekipman arızaları,11LIC104 üzeri dirsekte,Recycle hattında kaçak,Olay tamamlandı,,ZIM_LEVEL_03,Zamanında tamamlandı,3,10845,Seviye 3
1016498,8300 H.CRACKER FRAKSİYONLANDIRMA ÜNİTESİ,12.03.2018,14:00:00,Olay,PE,PE-Yangın/patlama/parlama,E-8306 eşanjörü,U-8200/8300 Hydrocracker Ünitesi E-8306 parlaması,Olay tamamlandı,,ZIM_LEVEL_03,Gecikmeli tamamlandı,-13,10865,Seviye 3
1016500,8300 H.CRACKER FRAKSİYONLANDIRMA ÜNİTESİ,11.03.2018,12:00:00,Olay,IG,"İG-Ekipman işlev, bütünlüğünün bozulması; İG-Start-up arızaları",E-8306 kerosen stripper reboiler,U-8200/8300 Hydrocracker Ünitesi E-8306 delinmesi,Olay tamamlandı,,ZIM_LEVEL_03,Gecikmeli tamamlandı,-12,10878,Seviye 3
1016508,7000  OF SAYT VE BATTERY LİMİT,3.03.2018,00:00:00,Güvenlik izleme,İSG,"Merdivenler(bina merdivenleri,...)",7200 kolonları,7000,Olay tamamlandı,,,Geçersiz,0,,
1016509,7000  OF SAYT VE BATTERY LİMİT,3.03.2018,00:00:00,Güvenlik izleme,İSG,"Merdivenler(bina merdivenleri,...)",7200 kolonları,7000,Olay tamamlandı,,,Geçersiz,0,2309.1,
1016510,7000  OF SAYT VE BATTERY LİMİT,7.03.2018,00:00:00,Güvenlik izleme,İSG,Yüksekte emniyetsiz çalışma.,7201 kolonu 4. Kat,7000,Olay tamamlandı,,,Geçersiz,0,,
1016511,7000  OF SAYT VE BATTERY LİMİT,8.03.2018,00:00:00,Güvenlik izleme,İSG,Doğru ekipman kullanmama/uyg.sz kullanma,,7000,Olay tamamlandı,,,Geçersiz,0,2274.1,
1016512,7000  OF SAYT VE BATTERY LİMİT,8.03.2018,00:00:00,Güvenlik izleme,İSG,Uyarıcı işaretler eksik/yok,,7000,Olay tamamlandı,,,Geçersiz,0,,
1016513,7000  OF SAYT VE BATTERY LİMİT,6.03.2018,00:00:00,Güvenlik izleme,İSG,Yakındaki eş zamanlı çalışmalar,,7000,Olay tamamlandı,,,Geçersiz,0,,
1016514,7000  OF SAYT VE BATTERY LİMİT,6.03.2018,00:00:00,Güvenlik izleme,İSG,Emin giriş/ateşli iş sertifikası ihlali,,7000,Olay tamamlandı,,,Geçersiz,0,,
1016522,4500 FCC FUEL GAS AMİNLE MUAMELE ÜNİTESİ,7.03.2018,23:00:00,Olay,"IG, PE","İG-Ekipman işlev, bütünlüğünün bozulması; PE-Kaçak/döküntü; PE-Toksik gaz yayılımı",,FCC Ünitesi D-4054 DEA Dengeleme hattı kaçağı,Olay tamamlandı,,ZIM_LEVEL_03,Gecikmeli tamamlandı,-4,10829,Seviye 3
1016524,3000 TANK SAHASI,2.03.2018,23:00:00,Olay,IG,İG-Ürün kalitesi sorunu,Tk-3066 tankı,Tank Kalite Değerinin Bozulması,Olay tamamlandı,,,Zamanında tamamlandı,1,10835,
1016523,901Y RUS KAZANLARI,13.03.2018,00:00:00,Güvenlik izleme,İSG,"Düşme tehlikesi(Açık kablo kanalları,.)",1. katta batı yönündeki korkuluklar,Kuvvet santrali U-901Y 1.kat ta korkuluklarda açık yer,Olay tamamlandı,,,Geçersiz,0,2317.1,
